ID,Especialidade
1,ACUPUNTURA
2,ALERGIA E IMUNOLOGIA
3,ANESTESIOLOGIA
4,ANGIOLOGIA
5,CARDIOLOGIA
6,CIRURGIA CARDIOVASCULAR
7,CIRURGIA DA MÃO
8,CIRURGIA DE CABEÇA E PESCOÇO
9,CIRURGIA DO APARELHO DIGESTIVO
10,CIRURGIA GERAL
11,CIRURGIA ONCOLÓGICA
12,CIRURGIA PEDIÁTRICA
13,CIRURGIA PLÁSTICA
14,CIRURGIA TORÁCICA
15,CIRURGIA VASCULAR
16,CLÍNICA MÉDICA
17,COLOPROCTOLOGIA
18,DERMATOLOGIA
19,ENDOCRINOLOGIA E METABOLOGIA
20,ENDOSCOPIA
21,GASTROENTEROLOGIA
22,GENÉTICA MÉDICA
23,GERIATRIA
24,GINECOLOGIA E OBSTETRÍCIA
25,HEMATOLOGIA E HEMOTERAPIA
26,HOMEOPATIA
27,INFECTOLOGIA
28,MASTOLOGIA
29,MEDICINA DE EMERGÊNCIA
30,MEDICINA DE FAMÍLIA E COMUNIDADE
31,MEDICINA DO TRABALHO
32,MEDICINA DO TRÁFEGO
33,MEDICINA ESPORTIVA
34,MEDICINA FÍSICA E REABILITAÇÃO
35,MEDICINA INTENSIVA
36,MEDICINA LEGAL E PERÍCIA MÉDICA
37,MEDICINA NUCLEAR
38,MEDICINA PREVENTIVA E SOCIAL
39,NEFROLOGIA
40,NEUROCIRURGIA
41,NEUROLOGIA
42,NUTROLOGIA
43,OFTALMOLOGIA
44,ONCOLOGIA CLÍNICA
45,ORTOPEDIA E TRAUMATOLOGIA
46,OTORRINOLARINGOLOGIA
47,PATOLOGIA
48,PATOLOGIA CLÍNICA/MEDICINA LABORATORIAL
49,PEDIATRIA
50,PNEUMOLOGIA
51,PSIQUIATRIA
52,RADIOLOGIA E DIAGNÓSTICO POR IMAGEM
53,RADIOTERAPIA
54,REUMATOLOGIA
55,UROLOGIA
56,ADMINISTRAÇÃO EM SAÚDE
57,ALERGIA E IMUNOLOGIA PEDIÁTRICA
58,ANGIORRADIOLOGIA E CIRURGIA ENDOVASCULAR
